col1,col2,col3,col4
2761,23565,12098,16126
12977,14923,26676,28029
22503,22060,6294,4411
24630,9994,8568,530
13566,15632,18970,27880
16927,2669,3471,14066
4132,25014,15577,13532
16216,13211,14435,12830
7399,6417,9336,16739
29331,29270,21029,11048
10117,7160,212,14508
18366,23795,13954,19163
6387,906,27729,7033
7823,19250,15896,16993
8996,2604,7224,17038
9679,90,23321,16535
9956,24832,7949,10879
19654,21901,21159,27496
18319,18416,11159,9667
24742,19272,1926,17409
7639,22661,27318,21868
4737,24511,1429,15135
7942,12992,21808,29544
10246,17886,10650,1794
5599,1733,793,27246
29892,11510,3502,1126
6710,16003,16515,7389
6508,2579,11631,1957
29237,19190,6399,25470
2733,8733,24568,22953
24117,6183,12003,22685
24866,10733,15069,13029
1032,7576,1704,28743
6145,9756,847,5082
15597,8913,22943,10903
126,20408,3515,5823
3240,27325,20820,25004
152,9635,5153,2426
15218,4989,21429,1873
7338,23058,741,23328
21069,22783,20928,20426
26249,25332,9901,24377
21467,4996,27050,6177
24060,14026,24017,24563
13511,20814,27937,20213
26613,4597,17320,8247
2484,10000,21198,6910
11726,4622,5643,8303
15519,3835,19424,26218
26971,5597,4907,23994
21436,3512,21423,20352
24561,8169,8399,28057
12958,3236,1753,7738
16046,27996,21792,13256
25899,5019,27220,21316
22679,13599,14743,24283
9457,9580,28613,12078
4230,22977,11324,22811
16683,11506,20286,15764
10076,4202,931,13321
10207,7224,11406,11056
27139,4640,11188,22562
22172,12098,14878,19679
29638,4920,2643,21662
29281,345,19157,12050
14721,3145,10454,590
4631,24057,27197,6686
12789,675,24918,7760
19933,12954,22600,3699
13842,189,9950,29292
3183,19503,18279,19236
19138,20515,11044,3784
27989,25573,7224,28339
21707,11224,15597,27979
23380,11602,25927,23645
8039,23214,2964,21959
22743,2561,15599,21460
21572,29184,16860,8136
19260,5171,11294,17167
7835,17372,2269,23035
9710,21626,10037,2741
24910,3879,28094,9891
1807,26852,16293,26731
11725,27538,2853,28583
22233,12566,5617,9932
13868,6453,20225,29138
28313,7229,17046,23205
1769,5303,20990,280
6512,26537,19240,510
2451,10930,12353,3135
27461,7207,28175,627
20159,5780,11296,25256
12498,27089,15791,10989
29266,23614,6213,15261
11453,1521,21216,22619
8390,22419,17291,432
28039,15858,959,7401
11783,24459,15921,15309
23719,26772,25868,9697
1808,6500,27317,2021
17384,12054,16359,4527
17106,10115,17934,8698
25568,15311,20251,8472
1481,26287,23488,4560
27400,16832,7056,9401
11856,234,7608,10565
25047,12957,17083,4533
8445,7334,2625,16998
3102,27737,3488,1109
8762,18187,7902,29693
24843,8760,13884,12845
22857,17173,9170,21247
4653,8207,17092,11756
19826,13562,11277,13980
3758,21693,24215,26853
22803,7924,23255,377
19392,4952,6954,25502
24374,8684,13738,20516
27255,14270,8101,3590
22069,29750,4786,9819
8849,25672,20800,13189
3668,6542,14927,18988
13418,6890,362,28443
482,1147,4522,15388
16005,4031,4454,21421
5331,16537,27812,27317
26333,1014,24767,14153
5364,13286,16383,6266
20956,13183,2139,6413
16038,9846,6896,18840
2623,3047,7312,5762
7983,21455,19734,14533
2083,29741,26493,11668
5505,10292,24072,24764
12081,27629,17502,16157
20492,9844,10365,8545
19031,13489,17917,5910
54,21244,26296,25302
16771,10386,9649,25842
18429,23650,16061,7046
2158,6711,21617,26579
10936,3029,11718,594
12364,2480,1335,11272
25626,28141,15849,15880
26715,23790,12854,2447
16353,22834,894,452
12299,11477,22047,14516
26317,7073,25821,19713
21496,4647,14737,160
18559,18766,5595,5638
17788,26989,20349,9244
11528,26636,7582,22837
24277,890,9214,13638
24330,20759,14005,11084
24770,7054,8441,27587
26492,28331,13395,25389
1205,8300,2946,7902
18590,29768,2993,23562
367,23989,2252,25566
14031,28078,28241,26954
2790,11865,10846,15038
12441,14945,27531,7487
14930,21266,10075,19971
20654,23021,20055,3283
16985,26177,12618,20604
20752,24962,1752,12843
7089,14308,25346,3700
2763,21424,17198,27366
2331,25641,19069,22104
27257,24844,19172,29138
4618,12044,7321,20498
22728,15106,3663,3012
7906,17772,18750,18389
28227,14668,27120,3867
22628,21505,16984,21254
22251,4928,28480,6164
18469,943,19080,6392
22460,17632,21337,10014
12237,4652,25297,10927
29591,4695,18731,25057
9339,22117,10873,27958
19631,429,17964,27653
14428,26339,24222,7183
28499,21412,20769,23711
25358,29195,7382,21262
24181,25234,11417,24527
6034,8701,14695,11614
7207,25819,13155,28571
232,28561,24518,2675
23370,29742,27182,6952
19785,21423,22318,25963
22357,10698,18172,1799
9852,9017,23679,26099
20730,1070,24026,6198
20345,2597,10104,13989
14229,27496,21051,6236
14395,1451,12653,212
16159,23702,23370,16413
11217,20641,26904,27381
9882,23090,19334,7255
675,23003,22266,10059
26539,19881,14267,27971
2320,7782,7544,18726
1340,5756,19674,24075
7817,17349,20934,16579
1763,11130,26613,17070
9879,20855,15635,8567
11917,17002,17698,20674
18044,21459,7282,26271
13375,16358,29876,28801
18236,29502,3662,24437
27751,6758,16535,20902
3038,9272,26559,26437
13642,20360,28381,11111
27855,10356,7108,28965
14341,27419,26229,19420
4819,20164,13608,26791
11709,26487,9489,5709
10988,12210,16028,1358
2994,2771,19762,13492
11569,12450,16838,17069
23941,16624,21295,8322
22487,10299,17398,12442
22185,22026,29292,13312
8236,28859,8256,26548
23446,15546,22052,656
27429,2029,2671,23428
4630,14516,11545,29297
13865,997,9149,21461
671,7016,20080,322
14998,19860,12332,3288
43,23324,10619,20892
14844,20793,1312,2891
2751,24867,276,20451
15604,3327,11790,8710
2598,15078,4484,3726
29648,26158,13254,13220
13675,3386,4783,25711
26550,24240,20284,26011
13871,19922,3704,12080
21668,19675,14520,14098
3658,25401,16001,1436
11638,7014,8542,994
29304,27255,22825,26951
7439,4527,21281,28841
25003,9580,5865,1617
13985,9353,17892,25489
14597,331,5780,13359
29151,16914,9629,2563
6451,5676,5832,26842
4975,2110,15332,13793
18733,15425,777,362
26188,15249,2897,11636
9873,20508,19035,26728
17060,10708,24844,19060
21424,28293,12329,10056
23058,20759,19064,13252
10001,3921,2810,20192
15058,27441,5484,11607
20865,28596,22175,8921
6636,6388,23646,609
27359,14079,26121,10020
1846,19633,5003,24038
16300,591,25996,24039
4441,814,13628,16322
17152,17512,7125,11333
16079,26056,14164,22691
1504,22432,17636,20198
23819,15207,20226,12936
23919,7199,16943,2428
23846,22922,26363,10068
18486,862,4819,12708
29614,14223,22997,13920
26061,24826,8823,22945
11114,22197,535,3822
2608,23856,13568,25899
15813,28335,18904,19907
21639,21119,17378,16093
13075,13117,26902,22218
19881,916,4375,21476
17325,4137,25304,19479
23484,21240,11774,10586
28921,10061,2383,27696
14731,3139,20610,3897
6170,24361,10558,12290
26876,24397,10439,4711
8788,3255,14386,6696
19371,12576,27921,26995
8259,25111,12843,6644
9199,22754,2989,2157
16788,22417,8227,16966
15939,28840,25691,5632
816,17479,15376,5893
4504,1849,5596,28073
23902,10443,9931,4195
22612,4205,26608,18802
20884,5694,12065,12156
8159,18718,24372,29560
6985,8246,14690,1744
21936,10242,20732,10220
7745,12803,25194,24632
18732,7745,21912,23724
25432,20612,22750,7018
23683,19271,27949,2892
12776,9705,4238,1104
27049,543,554,12007
14523,4398,8976,29718
4533,27206,24540,333
1214,14367,10086,21699
22812,6542,29129,5873
7802,24626,3207,28959
25996,20756,28124,9566
14670,14608,17049,6215
18108,1338,18165,2909
14608,13539,13268,11051
29066,24280,6280,16419
13411,2603,29476,24474
25858,12619,26668,13508
1634,1205,10388,4170
10413,3230,26757,5173
6328,501,13715,8253
22731,20629,6742,14189
3972,13033,12978,26599
10660,29680,24298,25045
1171,468,23537,4366
20807,25609,25989,3036
29620,12005,27768,3166
1972,6670,15894,35
5333,6890,17345,20172
8537,17706,7223,25549
22318,25592,14880,22647
14705,21485,19685,21415
6827,27644,23900,18047
13408,13935,17594,17740
20898,26313,27327,4668
11268,11105,23377,13117
4742,29754,27446,1006
6854,10161,3205,6310
11533,27976,7754,27896
27087,4612,2263,23405
1023,22271,29975,19996
9369,4681,28085,25160
4974,19275,17923,1242
7822,529,18238,6490
11485,3327,19286,15483
23139,1465,18815,11532
7349,13144,22426,1677
14951,11148,5580,79
3493,7202,14090,3891
21648,5931,1891,13891
19859,23497,11518,14223
26633,22113,4166,17585
16822,10506,22319,15045
21443,3941,20344,26088
24659,22755,28048,2321
3321,25607,2139,26702
28814,7686,13555,17147
20368,309,237,11797
23739,2547,19630,18133
5490,16457,12653,11825
5518,28691,22949,10586
16696,1984,6929,25560
28469,26354,26855,13106
22411,9265,2344,22860
5237,21582,21119,19756
11013,29423,3040,9884
19649,26318,26481,11047
26590,352,5529,16464
22370,3792,28380,13144
5246,9730,7184,9590
2918,17763,26949,4747
891,17361,7467,16976
5812,23994,1076,27852
14626,20777,14208,28610
14218,23818,29194,15962
9961,24095,26515,15125
14712,25722,6417,8479
17385,6289,3129,11386
16616,14981,17807,12921
4054,13204,4173,4060
29708,23410,6203,646
13482,14638,788,25910
29441,28525,2845,4994
20739,23941,14143,8366
7940,29747,23267,26210
4778,1640,23671,9687
831,10112,23943,29742
21515,14800,27604,9795
3461,13699,18128,5173
1718,24456,9713,26971
21000,10951,29827,3332
16876,13863,25226,3097
9313,15618,18566,1347
20870,14614,13322,20690
25033,29398,10182,1580
7282,2370,3662,3208
27079,21507,29414,3479
9870,10081,10455,9432
22068,1751,16676,15745
647,14936,24467,1341
16456,23718,27012,18206
9906,12674,13221,10026
14430,1589,17858,28661
5915,20750,11804,21869
21196,86,17733,14359
13226,16408,20373,12401
10842,20000,5304,28158
7890,3316,3376,3704
20497,25711,22993,24945
5447,9495,110,26200
19557,16589,23344,12658
5400,9152,4705,20282
9526,3567,16557,11380
21868,7717,7305,27376
31,24379,16887,811
12027,27328,7784,2252
23928,27591,21426,452
3613,23934,1858,19847
21474,11189,88,5295
29057,820,4745,17862
4623,14382,22899,9256
29599,16539,28653,26261
17449,8590,7846,28231
9549,14138,12371,16975
29155,18817,8361,9393
1904,2290,11139,18193
25905,14434,29525,825
25561,2986,15463,10450
6505,15489,7696,26429
9880,13108,20540,16936
18759,13903,28750,3114
6131,172,10275,2077
7225,14436,18392,21450
10266,10297,13596,19764
5775,23508,21172,27943
7053,8799,7743,24272
7345,8781,26028,14946
27786,5720,26285,28045
24583,16972,15480,26116
16459,3901,2083,18932
18567,14658,29794,22402
12884,16009,28364,18529
4194,26858,1083,10450
24021,26925,1504,24368
16996,20341,9062,25093
58,16226,22670,14373
5256,25443,13041,7178
24014,26257,4518,18841
25647,23307,29640,29426
16180,1859,27451,28405
5604,14645,13795,573
15614,25674,21729,27610
10958,13974,27909,16864
1782,22056,16356,27530
3732,4106,3529,1800
840,1625,12578,20970
7079,9715,5077,6219
17453,9200,27825,17479
15681,26195,3976,19531
26377,1974,3445,15546
23636,28911,10336,5963
15283,10027,21620,1817
22044,11470,29216,19659
28169,23253,20751,22653
14539,8098,20130,5669
3544,14182,9738,13738
12556,23145,18533,10106
26927,28391,18280,12419
7449,16354,27912,7128
8638,27854,10073,16682
9341,883,9175,7740
12797,24552,27604,15389
6823,23619,4008,28072
10139,12205,4685,28319
23192,20133,17348,8897
24519,27896,26962,25206
29055,1513,1381,29183
19203,27677,21745,11442
5330,20901,22825,8373
6528,9509,6907,18593
18583,12811,15682,28643
26274,29696,26500,10513
1931,21137,25090,5849
25824,1472,20975,6480
25194,10434,5093,19127
10703,22056,15065,9015
24696,21645,29708,28502
1592,5271,22950,2254
13667,13204,14588,9980
16352,21386,5582,13209
9207,16330,22113,24354
5727,16092,29420,13022
19727,10263,20034,23872
14408,11419,11212,23149
2592,21528,10898,16251
25784,15076,14043,5166
2901,21911,13237,24430
21369,25673,9778,9559
3808,25844,2713,25804
522,11641,5140,5441
4586,23423,27701,3358
25841,4892,23703,24039
23427,15476,27809,20638
523,26628,13008,189
26148,8590,3693,28421
22758,29267,1799,22087
20315,7897,19882,3609
22315,11209,22052,28604
27005,9474,21207,4296
29958,26488,5193,12182
25976,7363,15578,16726
23737,21917,984,23363
18363,24601,20444,10319
11169,6669,28555,9691
15530,7217,22338,18369
7860,24071,27392,5336
6941,9221,3521,8842
26835,20345,25572,20383
7019,9051,7656,20908
16110,20340,18441,23871
13079,26112,18259,11688
16931,29202,6766,25631
16959,2500,1315,6593
13990,13492,5198,505
16089,26347,1106,29921
42,4364,19754,9305
11368,10001,4615,11318
27632,9402,1679,24446
26802,10320,11171,12863
16648,21584,27300,12596
2615,9330,9553,25961
10801,26684,14383,22040
22852,28673,19615,21890
12695,13611,24176,25788
6248,2594,15794,11299
18763,14839,4959,13052
3151,23759,1844,16633
9434,19982,23069,18084
6552,3811,3804,17479
18224,18112,13139,8589
29851,11129,2535,3761
29539,20984,26294,8354
24908,9367,13117,20410
11458,28513,5884,10019
19127,4152,13753,3793
18333,3814,2255,23883
28625,5109,18877,5786
27053,22583,9423,229
22056,12605,9374,13026
29736,24109,28356,12408
28214,27228,29379,6602
2991,20976,9213,24587
27628,9991,13268,25020
654,29678,217,6747
29726,528,23248,28732
29738,10420,12640,20186
17880,300,1784,29823
15496,16785,288,7088
12935,24305,8661,17541
26501,27655,13577,14213
11494,22404,9465,2467
24348,3410,13305,26348
1877,6407,1411,18784
18534,7573,28815,2933
28395,16373,20934,14712
1203,8585,26282,12713
22623,9559,7133,27287
28711,23543,21484,11691
3923,12397,3224,87
23364,22350,23617,11567
18822,5989,28925,693
10002,14502,8466,20316
18651,2094,16678,27198
26176,22470,18325,20212
26435,10201,6554,1202
17198,23173,28084,203
22853,15774,10654,6549
9303,19670,26543,21320
19351,12936,21133,9369
27298,15055,24975,21777
4474,6335,19461,16458
28051,16763,3607,23092
18657,19438,6337,3708
29554,22937,23887,6115
2098,11786,19976,8067
16489,22191,25088,10662
14566,18746,4913,16287
24492,17101,4748,12069
20983,3858,23127,3356
5460,26317,18023,5450
7044,24287,19522,13781
8380,29502,24898,13574
7454,2909,16480,28691
7998,15287,7736,13326
18025,26258,20014,2439
25361,9266,20026,25808
12803,25253,18189,5387
17811,15248,22504,15033
22751,4858,9919,7947
14885,8098,22726,24183
682,997,14933,14705
21473,13833,1884,28023
12263,15210,26019,1500
14344,20420,24387,25719
20729,13096,10436,19781
1409,7173,8021,4894
26209,23689,10003,538
27182,4909,3934,8873
9795,5908,15226,15422
20821,15090,27344,11758
16814,18731,7336,13593
24943,5982,11845,8228
12411,5167,11043,16605
8467,22975,10284,12686
13497,14594,16049,599
25564,27070,26924,793
18686,8876,9156,9242
16940,19972,4851,28780
29784,876,12448,15668
13893,6458,5042,14505
2054,13138,10028,17898
18340,15585,19309,5521
19632,23005,932,3384
1314,26371,3557,2525
6724,22039,18707,12305
29443,20477,21677,2854
6632,22357,18933,29915
24880,7161,27902,26871
19526,19824,26599,4973
3262,16799,29791,4952
21673,16972,20765,16435
24705,1500,29938,16523
6356,12473,5278,4237
6696,14063,1896,20610
9621,12291,29931,12655
27516,19217,3199,3755
7851,3813,15893,12150
11171,21067,24547,17547
16260,14740,6186,13489
20635,5392,29701,13275
2402,28710,7611,4443
2457,1295,28741,24844
876,15561,14484,18475
10528,19543,4271,5122
11773,27188,4859,15542
19730,4851,20884,26766
12779,14706,15982,28761
13253,9853,13147,16818
4693,28549,1402,829
20057,2247,24248,15104
22945,8099,7278,26264
3986,3859,27997,4530
26133,18413,19213,1122
24151,13244,21328,24285
14946,22069,3284,26010
25090,20859,22040,26762
27648,13035,26524,14901
8637,2413,4395,19782
2893,5101,5395,7217
108,29533,3565,601
5295,25773,29662,6704
10186,26132,10132,9747
28261,12896,13883,3049
16238,3754,15873,26389
19047,10685,16280,15940
12731,7586,11316,14075
14547,7670,18328,23390
17147,13651,11021,18947
24337,10710,17461,8562
1524,10953,19779,12719
27603,21425,18630,9779
12834,13024,21251,5887
5317,7926,24562,15578
11947,7006,1586,25823
2978,5275,10134,20197
16914,27305,27660,17210
12425,23925,12370,11769
6281,2561,18169,14982
21955,22996,6307,20936
16418,28460,23489,28408
29380,3817,194,23889
19280,21175,27418,29986
28544,9121,15262,1586
894,14032,29141,20150
18214,17808,11315,9210
18958,19408,16478,27286
9828,21574,13921,5745
16277,17586,7900,14956
24707,11050,5816,11179
9886,15289,16707,7925
15551,11637,12651,3395
5387,23685,16146,29731
19337,4499,24143,18102
27446,29578,2325,1436
20660,5790,7491,13870
16014,21512,23105,27310
11420,11561,15231,9858
15463,14320,4628,26093
6882,10134,8660,24495
25001,23031,29826,5700
3362,25120,1988,19927
18817,2592,16719,9042
21483,15426,11103,23639
14674,21249,388,22231
19217,9898,7902,1462
5164,15423,7048,23790
24338,27006,10449,1262
28732,25052,23659,28051
2517,28713,4278,15386
22904,20503,28868,1246
7172,1376,18595,3203
17658,10744,17708,5139
12355,13913,10314,24116
1746,3391,17999,18275
6892,23129,7252,9996
28691,27945,24351,8035
17047,21997,25552,9252
2030,28262,11348,20765
4051,18370,28434,18684
5622,7493,14832,8603
5952,14339,26891,3033
15772,18986,24597,24956
17652,20243,23142,23270
10234,5191,12787,12918
18585,5080,23080,4476
17595,7141,8887,21461
11146,21271,22363,23996
27291,15393,10247,12494
10999,17298,1000,18967
22107,2486,22256,9672
2511,7592,162,23578
29561,22167,20898,27664
15745,11693,5935,4777
19060,17556,23022,23566
19559,22969,20220,3489
20669,21929,8284,17896
20724,15655,28249,8572
28113,14081,14192,26351
1007,24686,27083,16775
13788,23645,12926,10429
14235,5882,20228,9288
28387,19116,20996,23812
15977,28394,27266,16104
16607,7496,22703,10872
22457,19084,20528,3897
5055,6873,12055,5471
22159,8845,14410,29783
22101,1017,13383,12100
11838,11661,5554,4991
18298,6988,6045,13203
9642,6509,21263,26208
12284,8255,26803,8358
1932,13161,2571,18442
25439,511,21047,20474
19375,24895,9725,23361
24759,12775,5527,1053
28028,3190,28120,14120
9604,18253,7721,17651
26442,29806,18726,25701
18229,27099,26207,8854
16896,21245,11033,1952
4905,2571,19892,15490
9306,27732,28726,24799
5012,24049,18145,5737
28468,14338,3290,25922
11495,28500,22200,10655
17141,27393,8149,25
25406,27858,22723,24999
23100,591,15313,2
17051,25349,6237,5893
13045,6266,24543,14694
6366,8584,23373,11359
16227,13932,14417,1618
6060,12200,16765,27578
24992,23484,6538,164
5488,23616,11545,26968
10241,8002,20188,9213
3056,26809,10568,24033
26265,17104,11898,17139
5334,8175,14595,17111
23790,5815,5380,795
19349,28292,26107,4237
5073,28335,13079,27930
25943,22641,12532,2411
2065,22518,5971,10312
2553,1518,19675,3449
13824,16847,15476,17276
25091,20479,1824,20875
11570,24881,10386,11726
19506,26263,12638,5868
18201,11215,18426,15198
29351,21858,22883,12718
18210,17322,7555,25911
29787,18714,13443,21893
10916,13627,27397,49
17923,22256,20989,17790
18516,3927,22768,24677
9266,19810,5497,6400
13017,13934,23685,29604
6118,24398,18783,12052
21661,15403,21040,28143
24081,10050,27677,27196
28919,21090,23711,22730
27939,24399,26128,5212
10995,11477,12397,12184
28742,21919,16584,11579
19792,7666,3855,2132
16738,28425,4929,23334
24516,29738,27332,7412
5905,23556,18060,24344
17179,17783,17058,6197
28236,22145,261,2369
28679,16048,20444,17388
29713,12632,2451,19099
23824,24252,24446,19419
9108,8576,1573,19301
3035,21160,27887,19319
6010,26352,5733,25403
2658,8981,138,23974
24484,15023,10848,18129
8151,6879,4875,12337
9850,1452,29964,7789
14461,27369,27427,14879
10813,10059,7122,19764
14732,3043,25924,25278
16676,25863,10295,3088
16979,11801,5178,2181
1016,22649,6772,1582
21362,536,25645,8342
9493,18473,5568,299
15149,15666,18013,1571
5810,28365,13705,6964
26256,29870,23009,26233
9228,9570,6209,28737
27492,22725,19326,25675
21634,9675,1812,28298
184,22634,16814,14660
972,21045,9834,11515
4793,24265,15354,24688
2678,29200,4464,29006
25212,2486,6132,15153
17732,1963,17682,19032
12581,29038,12258,19484
19848,18474,18485,11624
9705,23955,19121,24956
3979,29561,10518,23039
9530,12125,12426,24444
24578,21429,23554,12433
21862,27291,13394,23005
27655,24800,29094,24803
17081,29969,16474,15009
6154,20781,8264,28157
7502,1984,322,11381
18002,20973,22843,6825
7503,9681,7028,1430
2356,9954,881,27348
1661,6117,14360,16124
26441,4210,18825,13836
3734,27102,6734,311
4030,21892,15734,28797
18096,20518,718,12054
6564,10721,5209,3727
19488,13719,11260,20685
20200,9897,19709,2891
9020,5034,27474,8255
12057,17465,29479,25436
18627,22150,11686,21976
15111,15532,2065,2998
929,25151,14153,17272
18199,5767,28664,11643
25347,19525,29630,19502
17895,5099,518,2250
10045,18131,28934,695
6205,18963,6991,13993
574,20941,12070,19181
23815,15092,15440,6584
23425,4745,13321,26438
22956,2612,11582,12436
22574,26514,23330,21566
23586,6703,22852,9588
22543,21214,24172,28942
614,5324,21499,5106
18653,7738,20649,18478
15998,19163,20574,24152
22958,29501,13387,2436
12119,6996,1051,19247
26621,13734,17281,18164
29823,26648,29054,24506
19989,25433,680,5793
12107,2308,2826,26911
3201,5552,5574,10434
11137,6736,7024,24638
2015,11650,1897,18929
13124,4537,26541,26953
18387,21359,13047,28854
28062,1016,14501,28870
26857,23440,20219,15402
11754,8643,5039,8480
11025,4287,7997,27523
22896,20315,17462,14049
11222,17067,18772,25291
27285,15029,22428,20151
11398,16844,21973,9411
25645,448,2850,19390
23958,24497,10680,17558
15291,29420,4789,22129
22055,27525,10648,12842
8873,3692,15767,9540
11136,3924,12223,11142
27058,18855,24349,15384
22420,27578,11283,408
11008,8812,26635,5586
15799,7842,15541,23977
12875,29391,17358,9035
1597,10352,23445,17660
14085,5932,23988,27468
19891,19739,24669,363
20788,14778,11517,15427
19706,12264,14960,2892
18507,8815,12796,8994
7348,2926,17079,12665
23528,1547,3449,12935
7879,27704,24236,8092
28048,4810,21722,16943
19805,4419,15532,1849
5159,7382,9457,25226
13615,8859,29370,14266
24441,12587,22093,11557
1420,28816,29663,26805
7710,10910,29843,1606
22865,15303,5480,9877
16097,26444,325,26622
12448,23719,13371,15519
28503,27609,5052,21148
6383,14273,27811,15975
28050,7514,21146,4180
8721,16423,5402,4184
13916,18973,14764,13882
421,15136,21802,15930
10310,3051,7961,3434
3181,10833,26046,20957
661,3655,22575,16150
12615,29406,12560,17631
12408,13962,14484,27656
26063,21928,27509,20269
24019,6840,4046,27547
13428,28463,22186,17077
10860,14991,24089,26731
24309,3899,2650,28058
29981,1347,22011,807
13224,11857,21980,27742
23535,29759,16016,22794
18392,16361,18895,27428
15,25692,16135,15211
2819,8831,21985,21940
21165,10633,11757,16885
3203,26728,6368,7720
26892,13434,24502,4721
29764,26017,18824,25006
13231,26225,25645,25295
9915,29382,4680,4551
20536,9296,1364,26857
21371,10343,19826,12702
20688,23268,249,4845
12863,9381,11196,26755
9081,25093,28100,6014
17566,10720,14400,348
29604,17925,8184,10015
29008,9928,26518,19694
20461,1193,2560,21640
18953,5649,23504,7194
11037,10141,18150,5232
11985,3942,19281,5642
12547,27770,24235,10756
28386,2278,1789,18871
612,26846,22288,26704
20249,29574,15787,28805
20582,559,21683,23578
10398,6678,22010,19508
24102,28067,17420,8468
24698,18408,5708,9300
14994,26625,27481,2653
6031,56,16292,29373
23267,5624,16782,11041
1259,15805,28252,10935
25133,13623,27417,8124
13754,9635,5097,2086
26887,20482,8419,15621
26861,5631,17907,27605
22750,18526,28775,23961
21161,4624,29341,8588
2895,5667,10679,1128
27310,13893,13195,28989
16078,15019,17536,10090
11957,4500,17248,10531
29337,1163,25053,245
23030,19213,27186,14878
2810,22332,2103,810
21923,182,22932,13630
13661,28940,6102,26744
6184,20593,29677,11907
17854,1984,6698,5514
22671,10119,25323,28850
11256,23385,11884,28010
26704,12441,3156,12206
19344,5433,16636,10036
21498,27365,7895,9021
18610,3909,11597,29975
18694,15215,14278,21686
26405,16887,27368,1039
13150,28682,2999,22700
10244,5606,28046,22024
3417,23626,13013,23180
20690,4618,7308,17731
11522,10221,13943,25673
11760,20485,19830,6930
14999,10308,14200,9522
19708,13043,5029,13892
22830,2137,11845,2876
29474,6332,9450,23024
14786,8838,27280,25483
6828,9144,3183,24875
22662,1232,22938,677
19867,3601,29110,2003
18329,6852,27035,26780
29571,19701,1274,12582
5082,28657,27811,24093
10497,12817,5369,15358
23548,11533,17929,12507
11196,23220,1913,16589
18256,14296,13874,10080
19131,5521,9557,13333
5104,8495,9319,14631
16235,14965,7411,26741
9566,10450,2886,9404
6742,15122,7528,3617
20473,23968,9544,21431
23801,511,24179,7322
